# data set header
# non-radiated data sets
# energy, error, normalization
1096,  0.05, 1.0

# data set selection
# energy
# data points
#  nu      cross section   stat. error       syst. error
1096.0
  20.0   2.567000E+02   0.000000E+00   0.000000E+00
  21.0   2.772000E+02   0.000000E+00   0.000000E+00
  22.0   2.998000E+02   0.000000E+00   0.000000E+00
  23.0   3.248000E+02   0.000000E+00   0.000000E+00
  24.0   3.522000E+02   0.000000E+00   0.000000E+00
  25.0   3.824000E+02   0.000000E+00   0.000000E+00
  26.0   4.154000E+02   0.000000E+00   0.000000E+00
  27.0   4.514000E+02   0.000000E+00   0.000000E+00
  28.0   4.906000E+02   0.000000E+00   0.000000E+00
  29.0   5.331000E+02   0.000000E+00   0.000000E+00
  30.0   5.788000E+02   0.000000E+00   0.000000E+00
  31.0   6.279000E+02   0.000000E+00   0.000000E+00
  32.0   6.801000E+02   0.000000E+00   0.000000E+00
  33.0   7.353000E+02   0.000000E+00   0.000000E+00
  34.0   7.931000E+02   0.000000E+00   0.000000E+00
  35.0   8.532000E+02   0.000000E+00   0.000000E+00
  36.0   9.151000E+02   0.000000E+00   0.000000E+00
  37.0   9.780000E+02   0.000000E+00   0.000000E+00
  38.0   1.041200E+03   0.000000E+00   0.000000E+00
  39.0   1.103800E+03   0.000000E+00   0.000000E+00
  40.0   1.165100E+03   0.000000E+00   0.000000E+00
  41.0   1.223900E+03   0.000000E+00   0.000000E+00
  42.0   1.279500E+03   0.000000E+00   0.000000E+00
  43.0   1.331000E+03   0.000000E+00   0.000000E+00
  44.0   1.377700E+03   0.000000E+00   0.000000E+00
  45.0   1.418900E+03   0.000000E+00   0.000000E+00
  46.0   1.454300E+03   0.000000E+00   0.000000E+00
  47.0   1.483500E+03   0.000000E+00   0.000000E+00
  48.0   1.506400E+03   0.000000E+00   0.000000E+00
  49.0   1.523100E+03   0.000000E+00   0.000000E+00
  50.0   1.533800E+03   0.000000E+00   0.000000E+00
  51.0   1.538600E+03   0.000000E+00   0.000000E+00
  52.0   1.538100E+03   0.000000E+00   0.000000E+00
  53.0   1.532700E+03   0.000000E+00   0.000000E+00
  54.0   1.522800E+03   0.000000E+00   0.000000E+00
  55.0   1.508900E+03   0.000000E+00   0.000000E+00
  56.0   1.491600E+03   0.000000E+00   0.000000E+00
  57.0   1.471200E+03   0.000000E+00   0.000000E+00
  58.0   1.448400E+03   0.000000E+00   0.000000E+00
  59.0   1.423400E+03   0.000000E+00   0.000000E+00
  60.0   1.396700E+03   0.000000E+00   0.000000E+00
  61.0   1.368600E+03   0.000000E+00   0.000000E+00
  62.0   1.339400E+03   0.000000E+00   0.000000E+00
  63.0   1.309500E+03   0.000000E+00   0.000000E+00
  64.0   1.278900E+03   0.000000E+00   0.000000E+00
  65.0   1.248100E+03   0.000000E+00   0.000000E+00
  66.0   1.217100E+03   0.000000E+00   0.000000E+00
  67.0   1.186000E+03   0.000000E+00   0.000000E+00
  68.0   1.155100E+03   0.000000E+00   0.000000E+00
  69.0   1.124400E+03   0.000000E+00   0.000000E+00
  70.0   1.094000E+03   0.000000E+00   0.000000E+00
  71.0   1.064100E+03   0.000000E+00   0.000000E+00
  72.0   1.034600E+03   0.000000E+00   0.000000E+00
  73.0   1.005500E+03   0.000000E+00   0.000000E+00
  74.0   9.771000E+02   0.000000E+00   0.000000E+00
  75.0   9.493000E+02   0.000000E+00   0.000000E+00
  76.0   9.221000E+02   0.000000E+00   0.000000E+00
  77.0   8.955000E+02   0.000000E+00   0.000000E+00
  78.0   8.696000E+02   0.000000E+00   0.000000E+00
  79.0   8.443000E+02   0.000000E+00   0.000000E+00
  80.0   8.197000E+02   0.000000E+00   0.000000E+00
